BorderStyle,BorderThickness,ChEBI,Color,Ensembl,FillColor,GraphID,Height,IsGPMLShape,LabelFont,LabelSize,name,selected,Shape,shared name,Transparent,Type,Width,XrefDatasource,XrefId
,1,,#000000,ENSG00000094631,#ffffff,a8f4c,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000094631,#ffffff,e5d83,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000117399,#ffffff,cdd56,25,,Arial,13,"CDC20

",FALSE,Rectangle,"CDC20

",FALSE,GeneProduct,90,Ensembl,ENSG00000117399
,1,,#000000,ENSG00000163517,#ffffff,f09b2,25,,Arial,13,"HDAC11
",FALSE,Rectangle,"HDAC11
",FALSE,GeneProduct,90,Ensembl,ENSG00000163517
,1,,#000000,ENSG00000080824,#ffffff,f205d,25,,Arial,13,HSP90AA1,FALSE,Rectangle,HSP90AA1,FALSE,GeneProduct,90,Ensembl,ENSG00000080824
,1,,#000000,ENSG00000185122,#ffffff,c2ae6,25,,Arial,13,"HSF1
",FALSE,Rectangle,"HSF1
",FALSE,GeneProduct,90,Ensembl,ENSG00000185122
,1,,#000000,ENSG00000094631,#ffffff,ec087,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000168036,#ffffff,cb289,25,,Arial,13,"CTNNB1

",FALSE,Rectangle,"CTNNB1

",FALSE,GeneProduct,90,Ensembl,ENSG00000168036
,1,,#000000,ENSG00000007062,#ffffff,e8a0c,25,,Arial,13,"PROM1
",FALSE,Rectangle,"PROM1
",FALSE,GeneProduct,90,Ensembl,ENSG00000007062
,1,,#000000,ENSG00000094631,#ffffff,ae983,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000070061,#ffffff,a8ee2,25,,Arial,13,ELP1,FALSE,Rectangle,ELP1,FALSE,GeneProduct,90,Ensembl,ENSG00000070061
,1,,#000000,ENSG00000107643,#ffffff,c33e5,25,,Arial,13,"MAPK8
",FALSE,Rectangle,"MAPK8
",FALSE,GeneProduct,90,Ensembl,ENSG00000107643
,1,,#000000,ENSG00000094631,#ffffff,e088f,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000183495,#ffffff,f4441,25,,Arial,13,EP400,FALSE,Rectangle,EP400,FALSE,GeneProduct,90,Ensembl,ENSG00000183495
,1,,#000000,ENSG00000172977,#ffffff,d7ea1,25,,Arial,13,"KAT5
",FALSE,Rectangle,"KAT5
",FALSE,GeneProduct,90,Ensembl,ENSG00000172977
