"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"114268","GBF1|ARF1GEF|8729","GBF1","8729","8729","false","8729","9606",""
"124606","RAINB1|STEERIN2|HELAD1|UNC53H2|POMFIL2|89797|NAV2","RAINB1","89797","89797","false","89797","9606",""
"107821","XPO2|1434|CSE1|CAS|CSE1L","XPO2","1434","1434","false","1434","9606",""
"110573","LCFS2|HNPCC|COCA1|MSH2|HNPCC1|4436|FCC1","LCFS2","4436","4436","false","4436","9606",""
"109540","hsp70|HSPH2|APG-2|HS24/P52|HSPA4|HEL-S-5a|RY|hsp70RY|3308","hsp70","3308","3308","false","3308","9606",""
"111680","5707|Rpn2|P112|PSMD1|S1","Rpn2","5707","5707","false","5707","9606",""
"115296","9971|FXR|HRR-1|BAR|NR1H4|HRR1|RIP14","FXR","9971","9971","false","9971","9606",""
"116802","23193|GANAB|G2AN|GLUII","GANAB","23193","23193","false","23193","9606",""
"109558","D6S182|3326|HSP90AB1|RP1-302G2.1|HSP90B|HSPC2|HSPCB|HSP84","D6S182","3326","3326","false","3326","9606",""
"111235","PFK-P|PFK-C|PFKF|RP11-298E9.2|5214|ATP-PFK|PFKP","PFK-P","5214","5214","false","5214","9606",""
"113353","KU80|NFIV|KARP1|7520|XRCC5|KUB2|Ku86|KARP-1","KU80","7520","7520","false","7520","9606",""
"111232","PFKL|PFK-B|5211|ATP-PFK|PFK-L","PFKL","5211","5211","false","5211","9606",""
"113036","HEL35|ECGP|GP96|TRA1|GRP94|7184|HSP90B1|HEL-S-125m","HEL35","7184","7184","false","7184","9606",""
"108019","UKVH5d|1653|DDX1|DBP-RB","UKVH5d","1653","1653","false","1653","9606",""
"109544","HSPA8|HSP71|NIP71|HEL-S-72p|HSPA10|HSC54|HSC70|HSC71|HEL-33|LAP-1|LAP1|3312|HSP73","HSPA8","3312","3312","false","3312","9606",""
"109538","HSP70-2|3306|HSP70-3|HSPA2","HSP70-2","3306","3306","false","3306","9606",""
"109537","HSP70-HOM|hum70t|HSP70-1L|3305|HSPA1L|HSP70T|DADB-333F21.5","HSP70-HOM","3305","3305","false","3305","9606",""
"109542","HSPA6|3310","HSPA6","3310","3310","false","3310","9606",""
"116603","22948|CCT-epsilon|TCP-1-epsilon|HEL-S-69|CCT5|CCTE","CCT-epsilon","22948","22948","false","22948","9606",""
